11-13 13:15:12: Training starting...
11-13 13:15:12: New best reward 30.0 (-100.0%) at episode 0, saving model...
11-13 13:15:13: New best reward 38.0 (+26.7%) at episode 6, saving model...
11-13 13:15:13: New best reward 52.0 (+36.8%) at episode 17, saving model...
11-13 13:15:13: New best reward 65.0 (+25.0%) at episode 55, saving model...
11-13 13:15:13: New best reward 78.0 (+20.0%) at episode 320, saving model...
11-13 13:15:14: New best reward 117.0 (+50.0%) at episode 421, saving model...
11-13 13:15:18: New best reward 136.0 (+16.2%) at episode 1902, saving model...
11-13 13:15:20: New best reward 137.0 (+0.7%) at episode 2230, saving model...
11-13 13:15:20: New best reward 144.0 (+5.1%) at episode 2238, saving model...
11-13 13:15:20: New best reward 145.0 (+0.7%) at episode 2241, saving model...
11-13 13:15:25: New best reward 149.0 (+2.8%) at episode 2975, saving model...
11-13 13:15:27: New best reward 159.0 (+6.7%) at episode 3305, saving model...
11-13 13:15:33: New best reward 164.0 (+3.1%) at episode 4236, saving model...
11-13 13:15:38: New best reward 189.0 (+15.2%) at episode 4932, saving model...
11-13 13:15:41: New best reward 200.0 (+5.8%) at episode 5385, saving model...
11-13 13:16:15: New best reward 217.0 (+8.5%) at episode 10618, saving model...
11-13 13:16:16: New best reward 238.0 (+9.7%) at episode 10684, saving model...
11-13 13:16:16: New best reward 393.0 (+65.1%) at episode 10725, saving model...
11-13 13:16:17: New best reward 438.0 (+11.5%) at episode 10783, saving model...
11-13 13:16:19: New best reward 484.0 (+10.5%) at episode 10896, saving model...
11-13 13:16:19: New best reward 498.0 (+2.9%) at episode 10929, saving model...
11-13 13:16:21: New best reward 575.0 (+15.5%) at episode 11059, saving model...
11-13 13:16:26: New best reward 886.0 (+54.1%) at episode 11367, saving model...
11-13 13:19:45: New best reward 1417.0 (+59.9%) at episode 22596, saving model...
11-13 13:20:23: New best reward 2215.0 (+56.3%) at episode 23198, saving model...
