11-13 13:22:42: Training starting...
11-13 13:22:42: New best reward 14.0 (-100.0%) at episode 0, saving model...
11-13 13:22:42: New best reward 34.0 (+142.9%) at episode 1, saving model...
11-13 13:22:43: New best reward 45.0 (+32.4%) at episode 19, saving model...
11-13 13:22:43: New best reward 46.0 (+2.2%) at episode 48, saving model...
11-13 13:22:43: New best reward 79.0 (+71.7%) at episode 92, saving model...
11-13 13:22:47: New best reward 84.0 (+6.3%) at episode 1260, saving model...
11-13 13:22:48: New best reward 107.0 (+27.4%) at episode 1462, saving model...
11-13 13:22:55: New best reward 124.0 (+15.9%) at episode 2990, saving model...
11-13 13:23:00: New best reward 136.0 (+9.7%) at episode 4093, saving model...
11-13 13:23:05: New best reward 142.0 (+4.4%) at episode 4913, saving model...
11-13 13:23:06: New best reward 145.0 (+2.1%) at episode 5099, saving model...
11-13 13:23:07: New best reward 146.0 (+0.7%) at episode 5434, saving model...
11-13 13:23:11: New best reward 154.0 (+5.5%) at episode 6097, saving model...
11-13 13:23:14: New best reward 166.0 (+7.8%) at episode 6734, saving model...
11-13 13:23:29: New best reward 200.0 (+20.5%) at episode 9044, saving model...
11-13 13:23:31: New best reward 216.0 (+8.0%) at episode 9215, saving model...
11-13 13:24:06: New best reward 226.0 (+4.6%) at episode 13331, saving model...
11-13 13:24:11: New best reward 332.0 (+46.9%) at episode 13794, saving model...
11-13 13:24:36: New best reward 443.0 (+33.4%) at episode 15748, saving model...
11-13 13:24:54: New best reward 520.0 (+17.4%) at episode 16602, saving model...
11-13 13:26:10: New best reward 575.0 (+10.6%) at episode 19383, saving model...
11-13 13:26:40: New best reward 706.0 (+22.8%) at episode 20400, saving model...
11-13 13:27:04: New best reward 816.0 (+15.6%) at episode 21096, saving model...
11-13 13:36:55: New best reward 1057.0 (+29.5%) at episode 40151, saving model...
11-13 13:39:32: New best reward 1249.0 (+18.2%) at episode 43638, saving model...
